0x000000: 041000
0x000002: 000000
0x000004: 008e7c
0x000006: 008988
0x000008: 00898e
0x00000a: 008a00
0x00000c: 008a06
0x00000e: 008a0c
0x000010: 008e7c
0x000012: 008e7c
0x000014: 008e7c
0x000016: 008e7c
0x000018: 008e7c
0x00001a: 006da2
0x00001c: 0086b8
0x00001e: 008e7c
0x000020: 008e7c
0x000022: 006eb8
0x000024: 00676a
0x000026: 008e7c
0x000028: 008e7c
0x00002a: 008e7c
0x00002c: 008e7c
0x00002e: 008e7c
0x000030: 008e7c
0x000032: 008e7c
0x000034: 008e7c
0x000036: 008e7c
0x000038: 008e7c
0x00003a: 008e7c
0x00003c: 0065d2
0x00003e: 008e7c
0x000040: 003abc
0x000042: 003a48
0x000044: 008e7c
0x000046: 008e7c
0x000048: 008e7c
0x00004a: 008e7c
0x00004c: 006fce
0x00004e: 00889a
0x000050: 008e7c
0x000052: 008e7c
0x000054: 008e7c
0x000056: 008e7c
0x000058: 008e7c
0x00005a: 008e7c
0x00005c: 008e7c
0x00005e: 008e7c
0x000060: 008e7c
0x000062: 008e7c
0x000064: 008e7c
0x000066: 008e7c
0x000068: 008e7c
0x00006a: 008e7c
0x00006c: 008e7c
0x00006e: 008e7c
0x000070: 008e7c
0x000072: 008e7c
0x000074: 008e7c
0x000076: 008e7c
0x000078: 008e7c
0x00007a: 008e7c
0x00007c: 008e7c
0x00007e: 007388
0x000080: 005a5c
0x000082: 008e7c
0x000084: 008e7c
0x000086: 008e7c
0x000088: 008e7c
0x00008a: 008e7c
0x00008c: 008e7c
0x00008e: 008e7c
0x000090: 008e7c
0x000092: 008e7c
0x000094: 008e7c
0x000096: 008e7c
0x000098: 008e7c
0x00009a: 008e7c
0x00009c: 008e7c
0x00009e: 008e7c
0x0000a0: 008e7c
0x0000a2: 008e7c
0x0000a4: 008e7c
0x0000a6: 008e7c
0x0000a8: 008e7c
0x0000aa: 008e7c
0x0000ac: 008e7c
0x0000ae: 008e7c
0x0000b0: 008e7c
0x0000b2: 008e7c
0x0000b4: 008e7c
0x0000b6: 008e7c
0x0000b8: 008e7c
0x0000ba: 008e7c
0x0000bc: 008e7c
0x0000be: 008e7c
